periode,lb_statut_esp,esp_nom_commun,esp_nom_commun_nb
2001,exotique,"Sandre, Perche soleil, Silure glane, Poisson chat",4
2003,exotique,"Sandre, Perche soleil, Silure glane, Poisson chat",4
2005,exotique,"Sandre, Perche soleil, Poisson chat, Silure glane",4
2007,exotique,"Perche soleil, Sandre, Silure glane, Poisson chat",4
2009,exotique,"Sandre, Perche soleil, Silure glane, Poisson chat",4
2011,exotique,"Sandre, Perche soleil, Silure glane, Poisson chat",4
2013,exotique,"Perche soleil, Sandre, Silure glane, Poisson chat",4
2015,exotique,"Sandre, Perche soleil, Silure glane, Poisson chat",4
2017,exotique,"Perche soleil, Sandre, Silure glane, Poisson chat",4
2019,exotique,"Perche soleil, Silure glane, Sandre, Poisson chat",4
1993,exotique envahissante,Pseudorasbora,1
1995,exotique envahissante,Pseudorasbora,1
1997,exotique envahissante,Pseudorasbora,1
1999,exotique envahissante,Pseudorasbora,1
2001,exotique envahissante,Pseudorasbora,1
2003,exotique envahissante,Pseudorasbora,1
2005,exotique envahissante,Pseudorasbora,1
2007,exotique envahissante,Pseudorasbora,1
2009,exotique envahissante,Pseudorasbora,1
2011,exotique envahissante,Pseudorasbora,1
2013,exotique envahissante,Pseudorasbora,1
2015,exotique envahissante,Pseudorasbora,1
2017,exotique envahissante,Pseudorasbora,1
2019,exotique envahissante,Pseudorasbora,1
1991,menacée de disparition,"Anguille d'Europe, Perche, Brochet, Ombre commun",4
1993,menacée de disparition,"Anguille d'Europe, Brochet, Perche, Ombre commun",4
1995,menacée de disparition,"Perche, Brochet, Anguille d'Europe, Ombre commun",4
1997,menacée de disparition,"Brochet, Perche, Anguille d'Europe, Ombre commun",4
1999,menacée de disparition,"Anguille d'Europe, Perche, Brochet, Ombre commun",4
2001,menacée de disparition,"Anguille d'Europe, Brochet, Perche, Ombre commun",4
2003,menacée de disparition,"Anguille d'Europe, Perche, Brochet, Ombre commun",4
2005,menacée de disparition,"Anguille d'Europe, Perche, Brochet, Ombre commun",4
2007,menacée de disparition,"Anguille d'Europe, Perche, Brochet, Ombre commun",4
2009,menacée de disparition,"Anguille d'Europe, Perche, Brochet, Ombre commun",4
2011,menacée de disparition,"Anguille d'Europe, Perche, Brochet, Ombre commun",4
2013,menacée de disparition,"Anguille d'Europe, Perche, Brochet, Ombre commun",4
2015,menacée de disparition,"Anguille d'Europe, Perche, Brochet, Ombre commun",4
2017,menacée de disparition,"Anguille d'Europe, Perche, Brochet, Ombre commun",4
2019,menacée de disparition,"Anguille d'Europe, Perche, Brochet, Ombre commun",4
